DCP,OXPHOS,ETR,ROS,FvFm,LPO,Fronds number
0,9476,,,,,
0,9568,,,,,
0,10580,,,,,
0,,20.346,,,,
0,,20.536,,,,
0,,19.416,,,,
0,,,3635,,,
0,,,4380,,,
0,,,2889,,,
0,,,,0.67,,
0,,,,0.663,,
0,,,,0.665,,
0,,,,,2.25,
0,,,,,3.36,
0,,,,,2.33,
0,,,,,,105
0,,,,,,122
0,,,,,,122
0.5,7671,,,,,
0.5,7479,,,,,
0.5,8633,,,,,
0.5,,17.099,,,,
0.5,,16.908,,,,
0.5,,14.199,,,,
0.5,,,3285,,,
0.5,,,4443,,,
0.5,,,5601,,,
0.5,,,,0.685,,
0.5,,,,0.676,,
0.5,,,,0.677,,
0.5,,,,,2.79,
0.5,,,,,2.66,
0.5,,,,,2.27,
0.5,,,,,,114
0.5,,,,,,112
0.5,,,,,,122
1,5774,,,,,
1,5583,,,,,
1,5379,,,,,
1,,11.814,,,,
1,,11.131,,,,
1,,11.6,,,,
1,,,6124,,,
1,,,5542,,,
1,,,5833,,,
1,,,,0.663,,
1,,,,0.662,,
1,,,,0.646,,
1,,,,,4.35,
1,,,,,3.96,
1,,,,,3.29,
1,,,,,,100
1,,,,,,102
1,,,,,,94
1.5,4122,,,,,
1.5,4243,,,,,
1.5,3988,,,,,
1.5,,8.522,,,,
1.5,,8.264,,,,
1.5,,7.592,,,,
1.5,,,7110,,,
1.5,,,6633,,,
1.5,,,6157,,,
1.5,,,,0.54,,
1.5,,,,0.473,,
1.5,,,,0.484,,
1.5,,,,,4.92,
1.5,,,,,4.68,
1.5,,,,,5.14,
1.5,,,,,,82
1.5,,,,,,79
1.5,,,,,,77
2,3620,,,,,
2,3372,,,,,
2,4077,,,,,
2,,2.094,,,,
2,,1.904,,,,
2,,3.371,,,,
2,,,12159,,,
2,,,7341,,,
2,,,9750,,,
2,,,,0.224,,
2,,,,0.247,,
2,,,,0.231,,
2,,,,,4.45,
2,,,,,4.9,
2,,,,,5.11,
2,,,,,,50
2,,,,,,47
2,,,,,,45
3,3018,,,,,
3,3473,,,,,
3,3269,,,,,
3,,0.001,,,,
3,,0.504,,,,
3,,0.437,,,,
3,,,8636,,,
3,,,9240,,,
3,,,8032,,,
3,,,,0.028,,
3,,,,0.022,,
3,,,,0.048,,
3,,,,,4.94,
3,,,,,3.85,
3,,,,,4.43,
3,,,,,,17
3,,,,,,18
3,,,,,,18
